Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.176     11463.14   11459.75      19.31
0.176     11477.00   11473.61      24.32
0.176     11501.18   11497.79      15.03
0.178     11498.07   11494.68      18.29
0.177     11532.98   11529.59      14.31
0.177     11524.94   11521.55      18.37
0.177     11569.75   11566.36      30.75
0.181     11644.58   11641.19      16.67
0.179     11685.01   11681.62      20.14
0.179     11728.71   11725.32      13.09
0.181     11721.97   11718.58      16.44
0.180     11734.72   11731.33      19.59
0.180     11804.63   11801.24      13.61
0.180     11828.17   11824.78      23.81
0.179     11818.75   11815.36      16.82
0.181     11881.66   11878.27      29.32
0.181     11900.00   11896.61      16.23
0.181     11911.41   11908.02      16.32
0.182     11963.43   11960.04      21.83
0.181     11995.89   11992.50      18.38
0.183     12017.58   12014.19      16.20
0.183     12049.87   12046.48      32.41
0.182     12082.40   12079.01      16.20
0.183     12092.33   12088.94      21.11
0.184     12120.45   12117.06      18.22
0.185     12172.23   12168.84       9.70
0.184     12165.36   12161.97      16.86
0.185     12187.70   12184.31      16.31
0.184     12243.91   12240.52      11.29
0.187     12258.65   12255.26      15.05
0.185     12280.07   12276.68      10.01
0.186     12326.74   12323.35       3.51
0.185     12314.47   12311.08      14.98
0.186     12368.05   12364.66      18.84
0.187     12417.10   12413.71       9.77
0.185     12442.33   12438.94      19.45
0.185     12446.12   12442.73      31.25
0.185     12485.07   12481.68      21.71
0.185     12511.16   12507.77      16.89
0.185     12517.78   12514.39      16.47
0.186     12567.97   12564.58      21.24
0.187     12604.45   12601.06      17.59
0.187     12620.82   12617.43      15.27
0.188     12649.30   12645.91      20.66
0.189     12672.40   12669.01      14.50
0.190     12705.89   12702.50      24.55
0.190     12726.04   12722.65      19.82
0.188     12776.41   12773.02       6.67
0.189     12778.60   12775.21      32.96
0.189     12798.22   12794.83      19.66
0.189     12844.80   12841.41       7.61
0.189     12861.80   12858.42      14.89
0.192     12906.00   12902.61      17.81
0.192     12934.82   12931.43       9.39
0.191     12936.60   12933.21      16.65
0.190     12970.04   12966.65      22.79
0.192     13003.70   13000.31      10.37
0.192     13040.38   13036.99      27.80
0.192     13034.94   13031.55      26.08
0.192     13086.03   13082.64      20.53
0.193     13130.96   13127.57      14.68
0.193     13130.64   13127.25      23.34
0.192     13146.76   13143.37      20.99
0.194     13179.94   13176.55      16.77
0.193     13227.56   13224.17      18.03
0.196     13232.82   13229.43      16.53
0.196     13303.61   13300.22       6.89
0.195     13311.05   13307.66      33.64
0.199     13341.87   13338.48      29.80
0.196     13384.45   13381.06       7.76
0.195     13403.12   13399.74      18.34
0.195     13411.95   13408.56      29.29
0.195     13456.33   13452.94      26.75
0.195     13482.02   13478.63      16.46
0.197     13494.36   13490.97      15.24
0.197     13537.29   13533.90      16.32
0.196     13555.31   13551.92      16.95
0.198     13603.86   13600.47      17.08
0.197     13589.83   13586.44      67.79
0.196     13511.92   13508.53     112.00
0.679     13666.43   13662.80    1345.32
0.219     11963.17   11959.54       7.04
0.159      9033.45    9029.82       9.20
0.112      6174.21    6170.58       6.59
0.045      2002.35    1998.72       5.34
0.060      2364.14    2360.51      28.97
0.103      2478.02    2474.39     189.92
0.084      2986.14    2982.50     538.62
0.370       693.23     689.60      55.27
0.119      2423.40    2419.77     554.14
0.149      4560.85    4557.21     586.21
0.113      5017.30    5013.67     626.88
0.137      5198.34    5194.70    1338.94
0.313      3884.19    3880.56      77.48
0.271      3951.27    3947.64    2181.64
0.201      6335.12    6331.49     430.30
0.443      9085.98    9082.35    3805.97
0.217      5513.03    5509.39     804.93
0.599      9618.54    9614.91    5697.31
0.174      6195.01    6191.38     180.84
0.590      9786.11    9782.48    6312.20
0.155      6082.06    6078.43     119.64
0.269      9889.62    9885.99    6582.39
0.168      6730.75    6727.11     169.48
0.360      9982.21    9978.57    6614.04
0.155      6689.88    6686.25     157.79
0.219     10065.70   10062.06    6683.61
0.607      2621.95    2618.32      88.85
0.253      3906.83    3903.20     737.93
0.204      6003.78    6000.14     525.64
0.225      6317.75    6314.12    1062.12
0.193      6395.86    6392.23    1772.64
0.353      4317.38    4313.74      75.45
0.248      4339.65    4336.02    1431.78
0.354      3911.65    3908.02    1733.34
0.183      6472.54    6468.90     343.95
0.346      7689.26    7685.63    2067.11
0.372      9227.16    9223.52     659.07
0.420     11067.67   11064.04    2992.60
0.389      9566.16    9562.53    1158.90
0.327     11907.62   11903.98    2017.60
0.567     10604.92   10601.29    3354.35
0.286     13007.09   13003.46    2747.64
0.424     11041.66   11038.02    2395.40
0.310     13167.15   13163.52    1724.82
0.857     10031.30   10027.67    2953.86
0.666     12052.34   12048.70    3681.28
0.791     10040.50   10036.87    2917.71
0.391     12145.90   12142.27    5864.46
1.565      4946.02    4942.39      88.84
0.313      5842.06    5838.43     764.72
0.160      6765.46    6761.82     119.66
0.173      6772.20    6768.56     672.17
0.386      5188.23    5184.60      78.78
0.215      5127.68    5124.05     124.55
0.446      7307.82    7304.19    1468.56
0.431      9610.77    9607.14    1192.13
0.254     10524.88   10521.24    1354.81
1.218     10783.66   10780.03    3732.53
1.255     10902.36   10898.72    3039.78
0.317     10813.56   10809.93     390.30
1.011     11026.21   11022.58    2413.71
0.966     10471.66   10468.02    1578.80
0.645     10522.18   10518.55    1827.82
1.061     10014.79   10011.16    2614.66
0.306     10725.46   10721.83    1766.11
1.050      5883.84    5880.20     100.35
0.190      5814.78    5811.15      38.47
0.396      7881.02    7877.39    1668.54
0.229     10080.61   10076.98     382.32
0.404     10859.17   10855.54    3825.12
0.657     11382.36   11378.73    3373.84
0.742     11373.34   11369.70    3652.55
0.586     11422.03   11418.40    2392.18
0.424     11540.29   11536.66    1741.66
0.469     11926.45   11922.81    2276.81
1.797      4603.84    4600.21      70.22
0.843       987.82     984.19      59.35
0.183      2844.10    2840.46     529.12
0.120      4036.61    4032.98     936.62
0.317      3471.48    3467.85      92.12
0.323      3926.71    3923.07    1988.48
0.128      5999.95    5996.32    1388.95
0.276      4932.67    4929.04    1999.15
0.265      4883.11    4879.47     365.98
0.188      5032.61    5028.97     827.46
0.321      4857.55    4853.92     547.23
0.134      6190.97    6187.34    1532.43
0.134      5168.96    5165.33     309.79
0.477      5071.24    5067.61    3645.30
0.802      3030.99    3027.36      24.50
0.272      3130.93    3127.29    1761.63
0.139      4950.31    4946.68    2302.69
0.181      5995.16    5991.53    2724.52
0.134      3747.72    3744.09      16.44
0.234      4505.44    4501.80    1316.80
0.197      5864.68    5861.05    1556.08
0.396      4097.49    4093.86      70.99
0.416      4748.20    4744.57     720.75
0.253      5336.27    5332.64     102.88
0.300      5731.52    5727.89     429.38
0.230      6116.65    6113.02     356.26
1.203       876.54     872.90      56.85
0.168      2647.23    2643.60     609.52
0.204      4791.14    4787.50     509.36
0.280      6873.70    6870.07     600.85
0.297      8863.25    8859.61     527.85
0.335     10774.16   10770.53     548.94
0.351     12699.20   12695.57     533.63
0.277     15270.62   15266.98     206.30
0.310     18702.04   18698.41    3808.79
0.312     18540.80   18537.16    3832.63
0.317     18432.75   18429.11    3773.25
0.544     14255.32   14251.69    4579.32
0.429     15396.93   15393.29     631.95
0.360     17923.90   17920.27     169.05
0.355     20472.87   20469.23    4235.32
0.353     20321.52   20317.88    4123.43
0.357     20107.07   20103.44    2589.19
0.608     15942.20   15938.57    6514.11
0.434     18341.91   18338.28     281.70
0.391     19737.80   19734.17    4453.34
0.392     19677.43   19673.80    4078.41
0.576     19498.54   19494.91    3437.76
0.907     14915.65   14912.02    3292.22
0.617     15647.95   15644.32    1172.52
0.421     20062.59   20058.96     324.36
0.385     20289.57   20285.93    3799.91
0.386     20185.68   20182.04    3081.70
0.385     20064.05   20060.41    3551.43
1.020     15167.81   15164.18    2756.82
0.676     14923.54   14919.91    1496.63
0.414     18987.82   18984.19     312.57
0.389     20031.79   20028.16    4138.12
0.393     19792.79   19789.16    4187.01
0.595     19593.82   19590.18    1391.70
0.828     14718.24   14714.61    3832.48
0.407     18729.45   18725.81     400.09
0.387     19510.17   19506.54    4461.79
0.389     19302.44   19298.80    4365.84
3.322     10500.69   10497.05    1963.26
0.140      3589.08    3585.45      17.12
0.489      4427.45    4423.81    1738.93
0.457      8170.38    8166.74    1900.93
0.454     10886.46   10882.83    1536.74
0.350     14308.86   14305.23    1071.50
0.460     13267.54   13263.91    7516.43
0.290     11256.79   11253.15      82.91
0.652     12929.09   12925.46    2787.27
0.362     16506.91   16503.28     781.98
0.810     14850.12   14846.49    5344.04
0.319     12479.29   12475.65      35.89
0.829     13622.84   13619.21    3275.64
0.354     15784.67   15781.04    1000.85
1.091     14512.55   14508.92    6180.12
0.635     11681.42   11677.79    2313.94
0.653     12735.58   12731.95    3008.37
0.858     13555.71   13552.08    1948.73
0.572     11478.30   11474.66      55.01
0.733     12349.49   12345.86    3096.02
0.791     13446.12   13442.48    3604.66
0.523     11244.31   11240.68    1201.62
0.603     12555.29   12551.66    2203.36
0.847     15186.07   15182.43    3742.62
2.438     10902.54   10898.91      55.44
0.351      4517.21    4513.57    1913.55
0.265      6818.91    6815.27    3478.99
0.511      6665.90    6662.27    1106.38
0.812      4951.29    4947.66      84.41
0.331      5710.69    5707.05    1369.57
0.266      8684.20    8680.57    1955.17
0.231      8425.64    8422.01      59.91
0.246      9368.80    9365.16     901.14
0.297      9580.57    9576.94    1749.65
0.249     10335.28   10331.64    1901.50
0.242      9895.61    9891.98      62.63
0.259     11060.97   11057.34     881.41
0.280      9868.98    9865.34    1127.43
0.309     10699.40   10695.77    1766.02
0.289     11491.32   11487.69    1717.79
0.282     11254.46   11250.82    1337.55
0.718      4867.20    4863.56      82.57
0.506      5390.92    5387.29    1409.07
0.355      7488.63    7485.00     489.29
0.381      9639.27    9635.64     358.54
0.335     11623.50   11619.86     270.76
0.310     14809.11   14805.48     185.38
0.514     20778.73   20775.09    5401.68
0.528     24659.75   24656.12    1179.96
0.383     20998.97   20995.34      73.16
0.490     12797.97   12794.34    9730.07
0.733     19619.85   19616.21    1843.89
0.623     25589.02   25585.39    9541.11
0.517     13456.84   13453.21      88.43
0.775     12653.57   12649.94    1363.18
0.351     17520.27   17516.63     355.82
0.403     21796.79   21793.16    1351.41
0.643     25352.18   25348.54    5709.66
0.512     13224.50   13220.87      78.46
0.733     12577.87   12574.23    3587.79
0.375     18394.28   18390.65     411.27
0.415     22364.66   22361.03     300.50
0.633     25363.36   25359.72    4606.81
0.410     13077.98   13074.34      60.97
0.522     13073.20   13069.57    3486.11
0.385     18942.56   18938.93     425.98
0.438     23000.81   22997.18     312.95
0.464     21731.98   21728.35     114.67
0.300     13225.27   13221.64      74.49
0.970     12634.70   12631.06    2530.39
0.371     17793.03   17789.39     399.98
0.417     21906.18   21902.55     457.34
0.568     25670.86   25667.23    8902.09
0.427     13210.70   13207.07      50.31
2.541      3842.64    3839.00      91.58
0.311      5872.78    5869.14    1899.18
0.295      5910.39    5906.76    2291.20
0.405      5909.45    5905.82    1460.43
0.376      5949.47    5945.84    1390.79
0.357      5968.71    5965.08    3217.94
0.294      5995.18    5991.55    2744.35
0.283      1321.35    1317.72      69.02
